18000.0,18000.0,3.38,12.44,5.44,4.7,10.72,8.36,7.99,408.65,421.39,8.29,18000.0,18000.0,7.7,3.72,3.77,1.37,3.55
18000.0,18000.0,2.76,20.08,3.09,2.28,13.17,13.26,6.89,113.16,113.28,3.43,217.87,146.53,4.06,2.9,1.8,0.9,1.32
18000.0,18000.0,13.6,74.85,25.61,20.84,164.72,19.07,27.34,771.53,771.37,17.21,680.19,651.92,19.54,12.16,21.13,4.88,12.19
18000.0,18000.0,6.0,68.86,34.51,18.65,96.71,22.96,39.05,495.05,490.49,9.44,526.91,684.12,26.71,8.28,8.01,3.38,3.2
18000.0,18000.0,34.89,269.73,204.0,160.2,892.48,156.3,262.41,18000.0,18000.0,97.12,18000.0,18000.0,116.49,123.03,126.62,88.93,25.09
18000.0,18000.0,1.39,7.33,1.28,1.44,2.23,2.29,3.64,116.26,117.54,0.67,70.82,51.58,2.38,0.73,0.77,0.39,0.69
18000.0,18000.0,5.64,32.1,16.15,11.65,62.6,16.25,14.17,414.96,436.86,9.51,310.76,222.52,15.16,7.13,11.7,6.21,8.45
18000.0,18000.0,4.38,29.35,8.68,6.1,47.23,15.74,17.15,262.67,256.11,7.79,221.94,215.08,8.27,4.38,5.88,1.74,2.47
18000.0,18000.0,19.02,132.37,92.76,90.95,489.01,68.88,78.65,18000.0,18000.0,53.83,1462.15,1175.09,81.19,43.39,61.68,35.23,21.34
18000.0,18000.0,17.32,108.17,68.33,64.72,245.44,45.23,63.43,1108.68,1145.15,18.41,1085.8,918.81,40.5,27.38,31.75,24.4,13.36
18000.0,18000.0,1.06,4.06,1.1,1.45,1.4,1.04,1.23,359.55,361.92,1.04,18000.0,18000.0,3.62,1.04,0.58,0.33,1.34
18000.0,18000.0,1.24,6.36,1.29,0.79,4.89,2.85,2.4,240.34,227.58,0.85,104.74,80.09,2.24,1.32,0.86,0.31,0.97
18000.0,18000.0,6.3,38.67,16.02,10.09,60.47,17.94,16.32,967.39,985.59,8.66,1038.03,1236.57,14.96,8.04,14.47,5.51,7.95
18000.0,18000.0,6.43,31.3,12.0,10.75,40.8,19.31,22.05,403.28,399.35,4.04,244.65,273.08,11.84,8.06,7.95,2.25,2.7
18000.0,18000.0,11.2,148.13,24.75,23.16,247.77,52.0,58.78,870.53,902.06,11.57,744.9,979.83,49.44,26.11,25.82,16.51,8.53
18000.0,18000.0,1.8,3.46,1.45,1.57,1.49,1.14,1.14,961.12,1009.36,1.43,18000.0,18000.0,4.49,1.16,0.76,0.39,1.86
18000.0,18000.0,0.59,1.43,0.62,0.58,0.25,0.28,0.24,34.94,35.33,0.12,15.3,15.78,0.94,0.28,0.27,0.23,0.39
18000.0,18000.0,3.44,15.83,11.88,4.6,14.22,6.83,6.99,192.67,189.69,5.63,18000.0,18000.0,9.05,4.47,3.32,1.32,6.35
18000.0,18000.0,3.0,14.84,3.28,2.96,15.71,7.04,5.33,180.84,185.1,2.29,222.45,253.77,5.83,1.97,2.05,1.16,1.56
18000.0,18000.0,11.8,77.55,34.49,28.25,170.19,38.74,33.68,712.58,695.63,21.64,1015.23,750.23,25.45,34.19,24.94,17.91,23.49
18000.0,18000.0,4.42,83.53,14.08,9.29,114.81,23.2,22.74,609.67,605.44,11.32,726.67,691.7,13.36,7.1,7.8,6.72,4.51
18000.0,18000.0,27.82,320.7,90.76,98.1,1193.47,123.57,126.72,18000.0,18000.0,88.38,18000.0,18000.0,113.46,146.63,139.48,28.68,49.3
18000.0,18000.0,0.79,4.15,0.49,0.51,0.43,0.8,0.63,21.52,22.32,0.76,28.2,23.1,1.04,0.33,0.35,0.18,0.35
18000.0,18000.0,0.96,2.11,0.82,0.87,0.59,0.48,1.0,122.38,127.32,1.11,19.61,25.22,1.3,0.56,0.4,0.45,0.85
18000.0,18000.0,1.22,6.72,1.34,1.17,4.5,4.31,2.73,104.98,106.61,1.6,50.69,49.49,2.15,0.81,0.96,0.83,1.27
18000.0,18000.0,8.59,30.57,11.41,7.25,53.66,15.98,10.5,1128.21,1063.44,10.67,381.46,400.99,18.29,14.19,8.73,2.15,10.84
18000.0,18000.0,44.72,167.25,115.61,69.03,541.37,71.69,54.87,18000.0,18000.0,40.68,1211.07,1627.28,113.06,48.3,61.32,32.37,25.76
18000.0,18000.0,18.11,166.6,42.77,30.93,203.63,42.81,49.64,1095.27,1085.63,12.87,912.69,722.73,45.1,24.52,40.31,17.22,7.54
18000.0,18000.0,20.09,111.36,17.18,19.7,66.1,79.23,85.53,18000.0,18000.0,75.08,18000.0,18000.0,19.26,22.02,16.68,21.39,85.31
18000.0,18000.0,2.71,14.25,3.62,4.05,6.81,4.61,6.54,18000.0,18000.0,2.07,435.73,518.93,1.8,1.79,1.74,1.61,4.83
